tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2004-807,Acapulco,Clay,32,A,20040301,31,102845,1,,Carlos Moya,R,190,ESP,27.5,104269,,,Fernando Verdasco,L,188,ESP,20.2,6-3 6-0,3,F,64,3,1,48,28,24,11,8,2,2,1,1,48,32,19,5,7,4,8,7,2290,103,372
2023-0807,Acapulco,Hard,32,A,20230227,300,200282,8,,Alex De Minaur,R,183,AUS,24,126205,7,,Tommy Paul,R,185,USA,25.7,3-6 6-4 6-1,3,F,147,2,1,84,42,34,22,13,6,8,1,4,91,55,33,19,13,6,10,22,1710,23,1700
2001-807,Acapulco,Clay,32,A,20010226,31,102856,1,,Gustavo Kuerten,R,190,BRA,24.4,102869,,WC,Galo Blanco,R,173,ESP,24.3,6-4 6-2,3,F,82,11,5,71,44,34,12,9,5,5,8,0,55,38,24,9,9,1,4,1,4365,116,337
2022-0807,Acapulco,Hard,32,A,20220221,300,104745,4,,Rafael Nadal,L,185,ESP,35.7,111815,6,,Cameron Norrie,L,188,GBR,26.4,6-4 6-4,3,F,114,3,0,57,45,32,5,10,3,5,4,2,59,40,24,9,10,1,5,5,6515,12,3070
2002-807,Acapulco,Clay,32,A,20020225,31,102845,5,,Carlos Moya,R,190,ESP,25.4,101897,,,Fernando Meligeni,L,180,BRA,30.8,7-6(4) 7-6(4),3,F,115,7,2,74,48,36,18,12,0,1,10,0,93,59,44,17,12,6,7,32,1095,71,539
2021-0807,Acapulco,Hard,32,A,20210315,300,100644,2,,Alexander Zverev,R,198,GER,23.9,126774,1,,Stefanos Tsitsipas,R,193,GRE,22.5,6-4 7-6(3),3,F,137,4,8,81,49,38,12,11,6,8,3,4,82,53,33,13,11,9,12,7,5635,5,6765
2003-807,Acapulco,Clay,32,A,20030224,31,102860,,,Agustin Calleri,R,183,ARG,26.4,103151,,,Mariano Zabaleta,R,183,ARG,24.9,7-5 3-6 6-3,3,F,155,5,3,105,60,43,22,15,10,13,3,1,90,49,35,20,15,0,4,61,630,44,761
2020-M004,Acapulco,Hard,32,A,20200224,300,104745,1,,Rafael Nadal,L,185,ESP,33.7,126203,,,Taylor Fritz,R,193,USA,22.3,6-3 6-2,3,F,74,1,2,46,29,24,13,9,1,1,10,0,47,30,21,6,8,4,7,2,9395,35,1255
2005-807,Acapulco,Clay,32,A,20050221,31,104745,8,,Rafael Nadal,L,185,ESP,18.7,103656,,,Albert Montanes,R,175,ESP,24.2,6-1 6-0,3,F,52,5,2,36,28,24,4,7,0,0,0,1,36,25,12,2,6,4,9,39,925,95,436
2019-M004,Acapulco,Hard,32,A,20190225,300,106401,,,Nick Kyrgios,R,193,AUS,23.8,100644,2,,Alexander Zverev,R,198,GER,21.8,6-3 6-4,3,F,90,13,5,71,44,34,10,10,7,8,7,1,49,36,26,5,9,2,5,72,750,3,6475
2006-807,Acapulco,Clay,32,A,20060227,31,103632,,,Luis Horna,R,180,PER,25.4,103428,7,,Juan Ignacio Chela,R,190,ARG,26.4,7-6(5) 6-4,3,F,122,7,1,82,51,33,19,11,4,6,6,2,70,49,36,9,11,4,7,68,562,45,795
2007-807,Acapulco,Clay,32,A,20070226,31,103428,4,,Juan Ignacio Chela,R,190,ARG,27.4,102845,8,,Carlos Moya,R,190,ESP,30.4,6-3 7-6(2),3,F,106,2,3,80,54,40,15,11,3,3,2,4,68,43,30,13,10,4,5,35,880,47,735
2024-0807,Acapulco,Hard,32,A,20240226,300,200282,3,,Alex De Minaur,R,183,AUS,25,134770,6,,Casper Ruud,R,183,NOR,25.1,6-4 6-4,3,F,117,3,3,57,30,20,20,10,3,4,1,0,81,56,30,15,10,1,4,9,3210,11,3120
2013-807,Acapulco,Clay,32,A,20130225,31,104745,2,,Rafael Nadal,L,185,ESP,26.7,103970,1,,David Ferrer,R,175,ESP,30.9,6-0 6-2,3,F,65,0,1,43,27,22,9,7,2,2,1,2,45,27,15,4,7,3,8,5,5755,4,6865
2011-807,Acapulco,Clay,32,A,20110221,31,103970,1,,David Ferrer,R,175,ESP,28.8,104597,3,,Nicolas Almagro,R,183,ESP,25.5,7-6(4) 6-7(2) 6-2,3,F,162,6,2,113,64,45,25,16,9,13,4,4,105,53,36,22,16,1,7,6,4510,13,2320
2016-M004,Acapulco,Hard,32,A,20160222,300,106233,4,,Dominic Thiem,R,185,AUT,22.4,106071,5,,Bernard Tomic,R,193,AUS,23.3,7-6(6) 4-6 6-3,3,F,115,22,1,86,67,55,8,16,0,3,8,4,101,65,47,16,15,5,8,15,2020,21,1675
2012-807,Acapulco,Clay,32,A,20120227,31,103970,1,,David Ferrer,R,175,ESP,29.9,104269,8,,Fernando Verdasco,L,188,ESP,28.2,6-1 6-2,3,F,70,2,1,39,25,22,10,8,0,0,1,4,50,38,19,4,7,6,10,6,4345,27,1320
2009-807,Acapulco,Clay,32,A,20090223,31,104597,4,,Nicolas Almagro,R,183,ESP,23.5,104792,2,,Gael Monfils,R,193,FRA,22.4,6-4 6-4,3,F,77,5,2,51,29,23,15,10,0,1,7,2,59,35,27,9,10,5,8,21,2280,10,3340
2010-807,Acapulco,Clay,32,A,20100222,31,103970,3,,David Ferrer,R,175,ESP,27.8,103507,4,,Juan Carlos Ferrero,R,183,ESP,30,6-3 3-6 6-1,3,F,107,2,1,65,47,39,11,13,1,2,0,1,68,46,27,14,12,0,3,17,1885,16,1965
2015-807,Acapulco,Hard,32,A,20150223,31,103970,2,,David Ferrer,R,175,ESP,32.8,105453,1,,Kei Nishikori,R,178,JPN,25.1,6-3 7-5,3,F,109,0,4,74,44,25,16,11,5,9,1,2,65,35,18,12,10,4,10,9,4185,5,5205
2017-M004,Acapulco,Hard,32,A,20170227,300,105023,,,Sam Querrey,R,198,USA,29.3,104745,2,,Rafael Nadal,L,185,ESP,30.7,6-3 7-6(3),3,F,94,19,2,75,48,39,17,11,6,6,1,2,61,42,30,12,10,1,2,40,1000,6,4115
2014-807,Acapulco,Hard,32,A,20140224,31,105777,4,,Grigor Dimitrov,R,188,BUL,22.7,104731,5,,Kevin Anderson,R,203,RSA,27.7,7-6(1) 3-6 7-6(5),3,F,178,7,1,105,72,50,23,16,3,5,13,7,119,82,59,19,17,2,3,22,1675,21,1685
2018-M004,Acapulco,Hard,32,A,20180226,300,105223,6,,Juan Martin del Potro,R,198,ARG,29.4,104731,5,,Kevin Anderson,R,203,RSA,31.7,6-4 6-4,3,F,100,12,4,58,36,28,14,10,0,0,11,0,60,34,27,11,10,1,3,9,2745,8,2825
