Name,Latitude,Longitude,Level
Acapulco,16.799075,-99.8239142,500
Adelaide,-34.9177436,138.5952157,250
Almaty,43.2637459,76.8158399,250
Amersfoort,52.1486672,5.3609505,250
Amsterdam,52.341419,4.888043,250
Antalya,36.861057,31.060263,250
Antwerp,51.2302,4.4418,250
Astana,51.151183,71.416843,250
Atlanta,33.7945266,-84.3960391,250
Auckland,-36.8542639,174.7721438,250
Australian Open,-37.8212948,144.98,GS
Bangkok,13.913,100.5478,250
Banja Luka,44.7798035,17.2022029,250
Barcelona,41.393013,2.1171353,500
Basel,47.5401174,7.6154379,500
Bastad,56.434882,12.8375149,250
Beijing,40.0191,116.3735,500
Belgrade,44.8142,20.4214,250
Bogota,4.6593254,-74.086916,250
Bologna,44.4986405,11.311741,250
Boston,42.3250815,-71.1652169,250
Bournemouth,50.7372718,-1.8869625,250
Brighton,50.8210915,-0.1467739,250
Brisbane,-27.524963,153.0050001,250
Bucharest,44.4308632,26.075507,250
Budapest,47.5326191,19.0303134,250
Buenos Aires,-34.5622517,-58.4375061,250
Cagliari,39.216727,9.1313234,250
Master Montreal,45.5332997,-73.6298638,1000
Master Toronto,43.770774,-79.513835,1000
Casablanca,33.5552939,-7.6513301,250
Chengdu,30.603728,103.905231,250
Chennai,13.056551,80.2363705,250
Cincinnati Masters,39.3494172,-84.2780603,1000
Cologne,50.9383376,6.9803762,250
Copenhagen,55.6776096,12.492286,250
Coral Springs,26.2614319,-80.2940957,250
Cordoba,-31.3652859,-64.2484022,250
Costa Do Sauipe,-12.4402883,-37.9242884,250
Dallas,32.8358101,-96.7814324,250
Delray Beach,26.4628466,-80.0768683,250
Doha,25.3127187,51.5136104,250
Dubai,25.2426919,55.3414344,500
Dusseldorf,51.2502107,6.8268383,250
Eastbourne,50.7639244,0.281397,250
Estoril,38.7153787,-9.3931533,250
Florence,43.7747534,11.1897075,250
Geneva,46.2074495,6.1697764,250
Gijon,43.5364871,-5.6344021,250
Great Ocean Road Open,-37.8212948,144.9777511,250
Gstaad,46.4758854,7.2848917,250
Halle,52.0633017,8.3479722,500
Hamburg,53.5736853,9.9901,500
Hamburg Masters,53.5736853,9.9901,1000
Ho Chi Minh City,10.769403,106.6567214,250
Hong Kong,22.2826927,114.1893755,250
Houston,29.7527431,-95.4253715,250
Indian Wells Masters,33.7239966,-116.3069869,1000
Indianapolis,39.770009,-86.172424,250
Istanbul,41.0576508,28.6631695,250
Johannesburg,-26.0243983,28.0115903,250
Kitzbuhel,47.4415198,12.4002402,250
Kuala Lumpur,3.054098,101.6903053,250
