,tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
30,1998-339,Adelaide,Hard,32,A,19980105,31,103720,,WC,Lleyton Hewitt,R,180.0,AUS,16.8,101727,,,Jason Stoltenberg,R,185.0,AUS,27.7,3-6 6-3 7-6(4),3,F,129.0,4.0,3.0,104.0,64.0,42.0,20.0,15.0,7.0,11.0,13.0,5.0,111.0,66.0,48.0,19.0,15.0,6.0,10.0,550.0,43.0,79.0,617.0
61,1998-451,Doha,Hard,32,A,19980105,31,101434,3.0,,Petr Korda,L,190.0,CZE,29.9,102148,8.0,,Fabrice Santoro,R,178.0,FRA,25.0,6-0 6-3,3,F,59.0,0.0,2.0,53.0,21.0,16.0,20.0,8.0,1.0,2.0,0.0,0.0,41.0,27.0,10.0,6.0,7.0,3.0,8.0,13.0,2261.0,29.0,1267.0
92,1998-301,Auckland,Hard,32,A,19980112,31,102701,1.0,,Marcelo Rios,L,175.0,CHI,22.0,101735,,,Richard Fromberg,R,196.0,AUS,27.7,4-6 6-4 7-6(3),3,F,126.0,2.0,4.0,89.0,55.0,41.0,20.0,16.0,0.0,2.0,10.0,0.0,109.0,59.0,43.0,27.0,16.0,3.0,5.0,10.0,2316.0,73.0,631.0
123,1998-338,Sydney Outdoor,Hard,32,A,19980112,31,102344,,,Karol Kucera,R,188.0,SVK,23.8,102450,6.0,,Tim Henman,R,185.0,GBR,23.3,7-5 6-4,3,F,87.0,3.0,9.0,68.0,36.0,30.0,11.0,11.0,4.0,7.0,4.0,2.0,65.0,35.0,25.0,12.0,11.0,5.0,10.0,25.0,1364.0,19.0,1622.0
250,1998-580,Australian Open,Hard,128,G,19980119,127,101434,6.0,,Petr Korda,L,190.0,CZE,29.9,102701,9.0,,Marcelo Rios,L,175.0,CHI,22.0,6-2 6-2 6-2,5,F,85.0,4.0,4.0,85.0,47.0,38.0,18.0,12.0,5.0,6.0,2.0,4.0,77.0,43.0,27.0,8.0,12.0,5.0,12.0,7.0,2495.0,8.0,2446.0
281,1998-496,Marseille,Hard,32,A,19980202,31,102358,6.0,,Thomas Enqvist,R,190.0,SWE,23.8,102338,1.0,,Yevgeny Kafelnikov,R,190.0,RUS,23.9,6-4 6-1,3,F,58.0,5.0,4.0,39.0,11.0,10.0,20.0,8.0,2.0,3.0,6.0,4.0,63.0,35.0,20.0,9.0,9.0,9.0,14.0,29.0,1221.0,7.0,2690.0
312,1998-322,Split,Carpet,32,A,19980202,31,101964,2.0,,Goran Ivanisevic,L,193.0,CRO,26.3,102257,1.0,,Greg Rusedski,L,193.0,GBR,24.4,7-6(3) 7-6(5),3,F,88.0,16.0,2.0,76.0,49.0,39.0,19.0,12.0,0.0,0.0,16.0,7.0,84.0,40.0,35.0,23.0,12.0,1.0,1.0,16.0,1867.0,8.0,2530.0
343,1998-495,Dubai,Hard,32,A,19980209,31,102374,4.0,,Alex Corretja,R,180.0,ESP,23.8,102456,6.0,,Felix Mantilla,R,180.0,ESP,23.3,7-6(0) 6-1,3,F,102.0,5.0,3.0,72.0,48.0,38.0,9.0,10.0,4.0,5.0,1.0,1.0,59.0,35.0,24.0,9.0,9.0,5.0,8.0,10.0,2285.0,15.0,1947.0
374,1998-424,San Jose,Hard,32,A,19980209,31,101736,,WC,Andre Agassi,R,180.0,USA,27.7,101948,1.0,,Pete Sampras,R,185.0,USA,26.4,6-2 6-4,3,F,69.0,2.0,1.0,53.0,32.0,25.0,14.0,9.0,2.0,2.0,17.0,6.0,66.0,40.0,29.0,10.0,9.0,5.0,8.0,71.0,672.0,1.0,3784.0
405,1998-568,St. Petersburg,Carpet,32,A,19980209,31,101990,1.0,,Richard Krajicek,R,196.0,NED,26.1,101820,4.0,,Marc Rosset,R,201.0,SUI,27.2,6-4 7-6(5),3,F,84.0,18.0,3.0,80.0,49.0,42.0,14.0,11.0,3.0,4.0,7.0,4.0,60.0,37.0,32.0,13.0,11.0,1.0,3.0,9.0,2324.0,30.0,1268.0
